Chamber Pressure (MPa),Burn rate (mm/s)
0.3537783311448653,0.7293437316394334
0.3554568357383431,0.7324025698004898
0.3571294678292634,0.7372266360716789
0.3608408303642633,0.7460090428935306
0.36599771397543795,0.7576386899821715
0.3730844980863672,0.7817877015328155
0.39124379017953587,0.8554490437164454
0.45276092577867466,1.0176651411782605
0.5565871540518434,1.2340869049961318
0.6586082488507032,1.4206944596289064
0.7416523144464928,1.5898493279189096
0.8296891111834861,1.775181202223531
0.9230688247466174,1.9637424572767115
0.9944797660141494,2.0977137003750936
1.0771596314783074,2.2757827666593866
1.1661489267498988,2.4432955115828983
1.2450464586160956,2.6101785656900462
1.3347641980495266,2.787017455872359
1.417151660954393,2.931974950506424
1.4839178517499256,3.0697912902373314
1.5565474271248365,3.2229803284180916
1.643783989587163,3.373770931097804
1.7086751035611738,3.5212635431891632
1.7933729908383216,3.670991628182208
1.8669211348904708,3.813031645955211
1.9416795764409096,3.950043946259545
2.0082512976370936,4.073624436891749
2.072536788110773,4.192442290571574
2.134996399442819,4.349614840966893
2.2431706440390498,4.497783173200609
2.288776787702569,4.605820716611554
2.360857088940797,4.734942273930907
2.4282991487043035,4.8622085121095
2.5013766372808433,4.971838391230582
2.5475793694406677,5.045422953451993
2.587838813581074,5.1113913468983325
2.62450610036447,5.174139206013191
2.662421101220091,5.2338912658033685
2.6973515383964286,5.306906518525618
2.746302493617527,5.390626823616086
2.7951358350420863,5.483065709888157
2.8500587470827923,5.567290685028366
2.89313233854133,5.638026513965073
2.9349474889093163,5.714680051890682
2.9798488078484535,5.7733629271035944
3.0106895448026694,5.824613449540904
3.04189484390603,5.867720557064696
3.0671324516381255,5.92249424910769
3.1061905226584847,5.982443549892199
3.1408365489650114,6.0339391218159815
3.169263634580318,6.079557690880889
3.1975287936841568,6.111186114831651
3.213857928284139,6.147369847103717
3.2413590237515066,6.189624747437878
3.2703909378495175,6.264844316518432
3.3137741873445625,6.288627137103802
3.3179861229166754,6.3102646343194335
3.3400515790979615,6.344865412946166
3.361177050865873,6.354203827546347
3.3609517002959017,6.3716269671452475
3.3789436888324156,6.383941708221139
3.383877026774248,6.382964427421082
3.383992886880709,6.383837763351564
