Time;Force
29.086;3.8
29.108;4.24
29.131;4.4
29.152;4.36
29.175;4.45
29.197;3.27
29.219;3.96
29.241;5.39
29.263;5.77
29.285;7.11
29.308;5.75
29.329;6.36
29.352;4.68
29.374;7.01
29.396;8.95
29.418;10.7
29.441;11.99
29.462;16.53
29.485;19.97
29.507;29.57
29.529;47.23
29.551;64.95
29.574;85.69
29.595;115.33
29.618;133.29
29.641;152.07
29.662;174.19
29.685;177.25
29.707;209.11
29.729;257.64
29.751;308.79
29.774;349.76
29.795;371.89
29.818;397.14
29.84;431.41
29.862;471.36
29.884;512.89
29.906;541.64
29.928;574.61
29.951;598.73
29.972;616.87
29.995;634.24
30.017;647.33
30.039;664.37
30.061;702.8
30.084;667.83
30.105;683.02
30.128;718.29
30.15;748.13
30.172;757.11
30.194;778.3
30.216;799.31
30.239;815.7
30.261;831.02
30.283;855.63
30.305;866.8
30.328;877
30.349;885.99
30.372;896.51
30.394;912.77
30.416;933.98
30.438;968.37
30.461;1008.08
30.482;1000.84
30.505;1007.79
30.527;1043.51
30.549;1024.67
30.571;1046.53
30.594;1068.36
30.615;1066.32
30.638;1058.33
30.659;1062.38
30.682;1065.33
30.704;1056.14
30.726;1047.75
30.748;1024.83
30.771;1003.99
30.793;986.5
30.815;962.47
30.837;940.92
30.859;922.59
30.882;909.34
30.903;869
30.926;867.52
30.948;848.35
30.97;829.9
30.992;773.38
31.015;751.69
31.036;709.27
31.059;988.31
31.08;832
31.103;726.36
31.125;615.08
31.147;583.97
31.169;538.97
31.192;507.19
31.213;484.17
31.236;476.66
31.258;459.9
31.28;434.45
31.302;409.82
31.324;406.57
31.346;392.96
31.369;378.46
31.391;356
31.413;318.1
31.436;295.23
31.457;274.64
31.48;258.5
31.502;252.18
31.524;232.4
31.546;209.86
31.569;196.54
31.59;185.79
31.613;174.41
31.634;159.31
31.657;145.07
31.679;132.37
31.701;116.62
31.723;101.5
31.745;90.1
31.767;82.67
31.79;74.9
31.811;71.72
31.834;68.25
31.856;66.96
31.878;62.71
31.9;60.84
31.923;59.91
31.945;58.43
31.967;56.31
31.989;56.17
32.011;54.23
32.034;52.31
32.055;51.41
32.078;51.09
32.1;50.19
32.122;48.11
32.144;47
32.167;46.79
32.188;44.98
32.211;43.66
32.233;43.64
32.255;42.73
32.277;40.87
32.299;39.45
32.321;38.33
32.344;37.66
32.365;36.11
32.388;35.99
32.41;34.93
32.432;34.76
32.454;33.6
32.477;33.06
32.498;31.75
32.521;31.79
32.544;32.1
32.565;30.96
32.588;30.12
32.609;29.68
32.632;30.49
32.654;28.77
32.676;28.18
32.698;24.73
32.721;24.51
32.742;22.38
32.765;23.89
32.787;22.29
32.809;22.29
32.831;22.54
32.854;22.46
32.875;21.23
32.898;22.26
32.919;19.41
32.942;19.37
32.964;20.65
32.986;18.56
33.008;17.91
33.031;18.5
33.052;18.61
33.075;14.31
33.098;17.72
33.119;16.02
33.142;15.73
33.163;17.18
33.186;15.02
33.208;11.43
33.23;15.18
33.252;14.21
33.274;5.26
33.296;7.55
33.319;10.93
33.34;8.5
33.363;5.74
33.385;10.15
33.407;9.34
33.429;10.59
33.452;5.36
33.473;8.44
33.496;7.13
33.518;10.33
33.54;8.18
33.562;9.18
33.584;7.54
33.606;8.39
33.629;8.33
33.65;6.81
33.673;7.39
33.696;7.89
33.717;7.21
33.74;6.18
33.762;7.66
33.784;6.61
33.806;5.05
33.829;5.78
33.85;6.51
33.873;5.7
33.894;5.93
33.917;6.63
33.939;5.8
33.961;5.82
33.983;6.33
34.006;5.76
34.027;5.18
34.05;6.1
34.072;5.96
34.094;5.45
34.116;5.8
34.139;6.17
34.16;5.9
34.183;5.64
34.204;5.91
34.227;5.81
34.25;5.53
34.271;5.68
34.294;5.94
34.316;5.5
34.338;5.68
34.36;5.89
